angle ; sinus ; cosinus ; tan ; artan
184 ; -0.069756 ; -0.997564 ; 0.069926 ; 1.268923 ; 
185 ; -0.087155 ; -0.996195 ; 0.087488 ; 1.270458 ; 
186 ; -0.104528 ; -0.994522 ; 0.105104 ; 1.271978 ; 
187 ; -0.121869 ; -0.992546 ; 0.122784 ; 1.273483 ; 
188 ; -0.139172 ; -0.990268 ; 0.140540 ; 1.274974 ; 
189 ; -0.156434 ; -0.987688 ; 0.158384 ; 1.276450 ; 
190 ; -0.173647 ; -0.984808 ; 0.176326 ; 1.277912 ; 
191 ; -0.190808 ; -0.981627 ; 0.194380 ; 1.279360 ; 
192 ; -0.207911 ; -0.978148 ; 0.212556 ; 1.280794 ; 
193 ; -0.224950 ; -0.974370 ; 0.230867 ; 1.282214 ; 
194 ; -0.241921 ; -0.970296 ; 0.249327 ; 1.283621 ; 
195 ; -0.258818 ; -0.965926 ; 0.267948 ; 1.285015 ; 
196 ; -0.275637 ; -0.961262 ; 0.286745 ; 1.286395 ; 
197 ; -0.292371 ; -0.956305 ; 0.305730 ; 1.287763 ; 
198 ; -0.309016 ; -0.951057 ; 0.324919 ; 1.289118 ; 
199 ; -0.325567 ; -0.945519 ; 0.344327 ; 1.290460 ; 
200 ; -0.342019 ; -0.939693 ; 0.363969 ; 1.291790 ; 
201 ; -0.358367 ; -0.933581 ; 0.383863 ; 1.293108 ; 
